"x","y","z"
327076,4762800,-1192
329494,4754202,-1973
326197,4759830,-4347
323106,4763879,-5884
326745,4762606,-981
331096,4756572,-4943
333969,4754248,-2687
328008,4768912,-849
327538,4764038,-1066
325710,4765275,-3861
328614,4771701,-6003
335067,4753537,-3062
323145,4775393,-4720
322156,4765002,-7344
326301,4764583,-1625
327216,4762000,-2517
329792,4756783,-3131
330141,4752642,-3398
324000,4767423,-6841
326924,4767136,-1917
323382,4762467,-5780
327673,4765843,-825
325954,4766177,-3361
330233,4757215,-2336
330498,4757268,-1855
323723,4772689,-3451
330181,4757336,-2812
322349,4762478,-6555
327024,4769034,-1603
328600,4768207,517
322455,4765586,-6758
327739,4765676,-1446
327250,4762835,-1724
326464,4761717,-3815
326665,4765530,-1142
327587,4763348,-1364
326982,4763044,-1442
321602,4773762,-5500
326985,4762995,-1343
330904,4755425,-4599
332376,4764555,-1752
326362,4761573,-3659
320784,4774213,-3706
328733,4761308,-1808
326441,4759512,-2834
328168,4759188,-3832
330991,4762790,-4724
331076,4763088,-4077
322916,4763224,-6290
322706,4765865,-6875
320592,4774352,-4019
331531,4757439,-2106
315139,4779918,-6867
327371,4770442,-1038
333093,4754541,-3710
320854,4772822,-1784
326508,4769100,-1969
320458,4772691,-3594
320988,4773866,-3011
324508,4769228,-3292
321072,4774141,-3048
326145,4758434,-3747
330522,4768972,-1106
331274,4764802,-1632
326365,4763523,-1491
322303,4767126,-5371
328814,4761296,-1319
327140,4761011,-3214
320762,4764761,-7330
330408,4764063,-2337
330666,4769058,-1194
319933,4773083,-2277
326048,4765918,-3509
327929,4762235,-2317
330987,4751408,-4082
327045,4762248,-1623
332221,4765938,-1301
327975,4762249,-2113
332846,4754425,-3810
331253,4755311,-4175
333413,4754621,-2562
333855,4752439,-4923
330601,4756218,-3749
332195,4750536,-5685
330828,4753491,-5837
331191,4755811,-4315
334223,4753590,-3013
334117,4752492,-4509
334633,4753622,-3049
326852,4770995,-1158
